,,release_date,movie,production_budget,domestic_gross,year,month,title_year,title,studio,primary_name,primary_title,genres,movie_id,return,percent_return,bucket,scaled_value,bucket_low,bucket_high,bucket_mean
HighProducer,2550,2013-01-18,The Last Stand,30000000,12050299,2013,1,The Last Stand2013,The Last Stand,LGF,Lorenzo di Bonaventura,The Last Stand,"Action,Thriller",tt1549920,-17949701,0.4016766333333333,2,3.0,15500000.0,30000000.0,10323029.703812316
HighProducer,2554,2013-03-08,Dead Man Down,30000000,10895295,2013,3,Dead Man Down2013,Dead Man Down,FD,Neal H. Moritz,Dead Man Down,"Action,Crime,Drama",tt2101341,-19104705,0.3631765,2,3.0,15500000.0,30000000.0,10323029.703812316
HighProducer,2617,2017-07-21,Girls Trip,28000000,115108515,2017,7,Girls Trip2017,Girls Trip,Uni.,Will Packer,Girls Trip,"Comedy,Drama",tt3564472,87108515,4.111018392857143,2,2.862068965517241,15500000.0,30000000.0,10323029.703812316
HighProducer,2622,2013-02-14,Safe Haven,28000000,71399120,2013,2,Safe Haven2013,Safe Haven,Rela.,Wyck Godfrey,Safe Haven,"Drama,Romance,Thriller",tt1702439,43399120,2.5499685714285714,2,2.862068965517241,15500000.0,30000000.0,10323029.703812316
HighProducer,2638,2018-06-15,Tag,28000000,54730625,2018,6,Tag2018,Tag,WB (NL),Todd Garner,Tag,Comedy,tt2854926,26730625,1.9546651785714286,2,2.862068965517241,15500000.0,30000000.0,10323029.703812316
HighProducer,2655,2014-02-21,3 Days to Kill,28000000,30697999,2014,2,3 Days to Kill2014,3 Days to Kill,Rela.,Ryan Kavanaugh,3 Days to Kill,"Action,Drama,Thriller",tt2172934,2697999,1.096357107142857,2,2.862068965517241,15500000.0,30000000.0,10323029.703812316
HighProducer,2698,2011-03-18,Limitless,27000000,79249455,2011,3,Limitless2011,Limitless,Rela.,Ryan Kavanaugh,Limitless,"Mystery,Sci-Fi,Thriller",tt1219289,52249455,2.935165,2,2.793103448275862,15500000.0,30000000.0,10323029.703812316
HighProducer,2793,2010-02-05,Dear John,25000000,80014842,2010,2,Dear John2010,Dear John,SGem,Ryan Kavanaugh,Dear John,"Drama,Romance,War",tt0989757,55014842,3.20059368,2,2.655172413793103,15500000.0,30000000.0,10323029.703812316
HighProducer,2797,2012-12-25,Parental Guidance,25000000,77267296,2012,12,Parental Guidance2012,Parental Guidance,Fox,Peter Chernin,Parental Guidance,"Comedy,Family",tt1047540,52267296,3.09069184,2,2.655172413793103,15500000.0,30000000.0,10323029.703812316
HighProducer,2805,2012-01-13,Contraband,25000000,66528000,2012,1,Contraband2012,Contraband,Uni.,Eric Fellner,Contraband,"Action,Crime,Drama",tt1524137,41528000,2.66112,2,2.655172413793103,15500000.0,30000000.0,10323029.703812316
HighProducer,2867,2011-12-09,The Sitter,25000000,30542576,2011,12,The Sitter2011,The Sitter,Fox,Michael De Luca,The Sitter,Comedy,tt1366344,5542576,1.22170304,2,2.655172413793103,15500000.0,30000000.0,10323029.703812316
HighProducer,2964,2015-11-20,Legend,25000000,1872994,2015,11,Legend2015,Legend,Uni.,Eric Fellner,Legend,"Biography,Crime,Drama",tt3569230,-23127006,0.07491976,2,2.655172413793103,15500000.0,30000000.0,10323029.703812316
HighProducer,2984,2014-06-20,Think Like a Man Too,24000000,65028687,2014,6,Think Like a Man Too2014,Think Like a Man Too,SGem,Will Packer,Think Like a Man Too,"Comedy,Romance",tt2239832,41028687,2.709528625,2,2.586206896551724,15500000.0,30000000.0,10323029.703812316
HighProducer,3086,2016-02-05,"Hail, Caesar!",22000000,30080225,2016,2,"Hail, Caesar!2016","Hail, Caesar!",Uni.,Tim Bevan,"Hail, Caesar!","Comedy,Drama,Music",tt0475290,8080225,1.3672829545454546,2,2.4482758620689653,15500000.0,30000000.0,10323029.703812316
HighProducer,3109,2013-12-04,Out of the Furnace,22000000,11330849,2013,12,Out of the Furnace2013,Out of the Furnace,Rela.,Ryan Kavanaugh,Out of the Furnace,"Crime,Drama,Thriller",tt1206543,-10669151,0.5150385909090909,2,2.4482758620689653,15500000.0,30000000.0,10323029.703812316
HighProducer,3162,2011-12-09,Tinker Tailor Soldier Spy,21000000,24149393,2011,12,Tinker Tailor Soldier Spy2011,,,Eric Fellner,Tinker Tailor Soldier Spy,"Drama,Mystery,Thriller",tt1340800,3149393,1.1499710952380953,2,2.3793103448275863,15500000.0,30000000.0,10323029.703812316
HighProducer,3302,2013-08-23,The World's End,20000000,26004851,2013,8,The World's End2013,The World's End,Focus,Tim Bevan,The World's End,"Action,Comedy,Sci-Fi",tt1213663,6004851,1.30024255,2,2.310344827586207,15500000.0,30000000.0,10323029.703812316
HighProducer,3392,2016-06-03,Popstar: Never Stop Never Stopping,20000000,9496130,2016,6,Popstar: Never Stop Never Stopping2016,,,Judd Apatow,Popstar: Never Stop Never Stopping,"Comedy,Music",tt3960412,-10503870,0.4748065,2,2.310344827586207,15500000.0,30000000.0,10323029.703812316
HighProducer,3508,2011-03-04,Take Me Home Tonight,19000000,6928068,2011,3,Take Me Home Tonight2011,Take Me Home Tonight,Rela.,Ryan Kavanaugh,Take Me Home Tonight,"Comedy,Drama,Romance",tt0810922,-12071932,0.3646351578947368,2,2.2413793103448274,15500000.0,30000000.0,10323029.703812316
HighProducer,3666,2016-11-11,Almost Christmas,17000000,42065185,2016,11,Almost Christmas2016,Almost Christmas,Uni.,Will Packer,Almost Christmas,"Comedy,Drama",tt4649416,25065185,2.4744226470588235,2,2.103448275862069,15500000.0,30000000.0,10323029.703812316
HighProducer,3823,2018-08-10,BlacKkKlansman,15000000,49275340,2018,8,BlacKkKlansman2018,BlacKkKlansman,Focus,Jason Blum,BlacKkKlansman,"Biography,Crime,Drama",tt7349662,34275340,3.285022666666667,1,2.0,5200000.0,15000000.0,7655981.445714286
HighProducer,3845,2014-11-07,The Theory of Everything,15000000,35893537,2014,11,The Theory of Everything2014,The Theory of Everything,Focus,Eric Fellner,The Theory of Everything,"Biography,Drama,Romance",tt2980516,20893537,2.3929024666666665,1,2.0,5200000.0,15000000.0,7655981.445714286
